Country,City,Culture,Event,Preferred Color,Preferred Style,Outfit
USA,Houston,Black,Wedding,Vibrant,Modern,Beaded asymmetrical gown with beaded accents
Dubai,Al Ain,Traditional (Middle Eastern),Office Meeting,Gray,Traditional,Minimal Embroidery cloak with dress
Sri Lanka,Jaffna,Traditional (Tamil),Wedding,Gold,Traditional,Zari bridal saree with gold embroidery
England,Manchester,African/Caribbean,Casual Party,Orange,Traditional,Floral kanga wrap dress
Sri Lanka,Kandy,Traditional (Sinhala),Wedding,White,Traditional,Lace Kandyan saree
England,Manchester,Western,Office Meeting,Gray,Modern,Pinstripe pencil skirt with blouse
England,Bristol,South Asian,Office Meeting,Earth Tones,Traditional,Minimal Embroidery formal kurti with trousers
England,Manchester,African/Caribbean,Wedding,Bright,Modern,Kente halter-neck dress with beadwork
India,Mumbai,Western,Casual Party,Green,Traditional,Floral blouse with a long skirt and low heels
Japan,Kyoto,Traditional Japanese,Wedding,White,Modern,Floral lace dress with obi belt
Malaysia,Kuching,Malay,Wedding,Maroon,Traditional,Lace veil with traditional dress
USA,Houston,Western,Casual Party,Yellow,Traditional,Polka dot conservative shift dress with a belt and pumps
England,London,Western,Casual Party,Blue,Traditional,Polka dot turtleneck sweater with a pleated skirt and loafers
Malaysia,Kuching,Indian,Casual Party,Bright,Traditional,Block Print block print suit
USA,Miami,Latino,Wedding,Orange,Modern,Ruffles mermaid gown with lace detailing
Japan,Kyoto,Traditional Japanese,Wedding,Gold,Traditional,Floral uchikake (embroidered kimono)
India,Bangalore,Traditional (South Indian),Office Meeting,Cream,Traditional,Solid simple saree with border
Sri Lanka,Kandy,Traditional (Sinhala),Casual Party,Bright,Modern,Printed maxi dress
USA,Houston,Western,Wedding,White,Modern,Lace gold strapless gown with crystal embellishments
Sri Lanka,Kandy,Traditional (Sinhala),Wedding,Cream,Traditional,Lace saree with long train
Malaysia,Ipoh,Chinese,Wedding,Red,Traditional,Embroidered dragon and phoenix gown
England,Bristol,Western,Office Meeting,Gray,Modern,Checkered ankle-length trousers with blouse
England,London,Western,Casual Party,Yellow,Traditional,Striped cardigan over a dress with Mary Jane shoes
Japan,Tokyo,Western,Wedding,White,Traditional,Lace classic wrap dress with a subtle floral pattern
Sri Lanka,Galle,Traditional (Sinhala),Office Meeting,Cream,Traditional,Minimal Embroidery saree with lacework and intricate beadwork along the edges
Japan,Tokyo,Western,Office Meeting,Gray,Modern,Checkered pleated skirt with sweater
England,Bristol,Western,Wedding,Gold,Traditional,Lace vintage-inspired fit-and-flare dress with lace overlay
India,Mumbai,Western,Casual Party,Red,Modern,Polka dot jumpsuit with bold patterns and ankle boots
Malaysia,Kuching,Malay,Office Meeting,Light Blue,Traditional,Solid baju kurung
USA,Miami,Latino,Wedding,Orange,Modern,Lace evening gown with ruffles
USA,Miami,Western,Office Meeting,Black,Modern,Solid wrap dress
England,Manchester,Western,Wedding,Pastel,Traditional,Beaded vintage-inspired fit-and-flare dress with lace overlay
Dubai,Al Ain,Traditional (Middle Eastern),Wedding,Gold,Traditional,Beaded velvet gown with gold embroidery
India,Delhi,Traditional (North Indian),Wedding,Pink,Modern,Embroidered saree gown
USA,Chicago,Black,Wedding,Bright,Modern,Beaded asymmetrical gown with beaded accents
USA,Houston,Black,Office Meeting,Navy,Traditional,Subtle Ankara Print dashiki top with trousers
Sri Lanka,Kandy,Traditional (Sinhala),Casual Party,Bright,Modern,Printed skirt with embroidered top
Malaysia,Kuching,Malay,Office Meeting,Cream,Modern,Solid modern kebaya
India,Mumbai,Western,Wedding,Silver,Traditional,Lace tea-length silk dress with a jacket
USA,Chicago,Latino,Office Meeting,Brown,Modern,Subtle Embroidery pencil skirt with ruffled blouse
USA,Chicago,Western,Office Meeting,Gray,Modern,Pinstripe tailored trousers with blazer
Dubai,Al Ain,Traditional (Middle Eastern),Wedding,Emerald,Traditional,Embroidered traditional bridal hijab
Malaysia,Kuching,Malay,Casual Party,Pastel,Traditional,Batik kebaya with songket skirt
India,Mumbai,Traditional (North Indian),Office Meeting,Cream,Modern,Minimal Embroidery cotton saree
Malaysia,Ipoh,Chinese,Wedding,Silver,Modern,Beaded ball gown with sleeves
USA,Miami,Latino,Office Meeting,Brown,Traditional,Solid ruffled blouse with trousers
Dubai,Dubai,Traditional (Middle Eastern),Wedding,Gold,Traditional,Embroidered bejewelled jalabiya
India,Chennai,Traditional (South Indian),Wedding,Maroon,Modern,Beaded crop top with skirt
England,Manchester,African/Caribbean,Wedding,Turquoise,Modern,Ankara halter-neck dress with beadwork
USA,Houston,Western,Wedding,Silver,Traditional,Beaded pleated midi skirt with a blouse and matching bolero
Malaysia,Ipoh,Malay,Casual Party,Pastel,Modern,Batik stylish baju kurung
Malaysia,Ipoh,Indian,Office Meeting,Cream,Modern,Solid front-slit kurti with pants
Sri Lanka,Galle,Traditional (Sinhala),Wedding,Gold,Modern,Lace designer saree
India,Mumbai,Traditional (North Indian),Casual Party,Pastel,Traditional,Floral handloom saree
USA,Chicago,Western,Casual Party,Pink,Modern,Floral shorts with a flowy blouse and espadrilles
USA,New York,Latino,Wedding,Red,Traditional,Ruffles flamenco-style dress with tiered ruffles
Malaysia,Kuching,Malay,Wedding,Gold,Modern,Beaded evening gown
England,Manchester,African/Caribbean,Casual Party,Yellow,Traditional,Floral boubou with headwrap
Dubai,Dubai,Traditional (Middle Eastern),Wedding,Gold,Traditional,Embroidered traditional kaftan
England,London,Western,Wedding,Pastel,Modern,Embroidered embroidered illusion gown with lace details
Sri Lanka,Colombo,Western,Casual Party,Green,Modern,Polka dot off-shoulder blouse with high-waisted jeans and heels
Malaysia,Kuching,Indian,Wedding,Pink,Traditional,Beaded Zardosi work lehenga
Dubai,Abu Dhabi,Traditional (Middle Eastern),Wedding,Gold,Traditional,Beaded gold-threaded dress
Japan,Tokyo,Western,Wedding,Gold,Modern,Lace gold strapless gown with crystal embellishments
India,Mumbai,Traditional (North Indian),Casual Party,Bright,Traditional,Floral printed saree
England,Bristol,Western,Casual Party,Yellow,Traditional,Polka dot blouse with a long skirt and low heels
Malaysia,Kuching,Indian,Casual Party,Pastel,Modern,Printed palazzo pants with tunic
Sri Lanka,Galle,Traditional (Sinhala),Casual Party,Bright,Modern,Batik dress with local patterns
Malaysia,Ipoh,Chinese,Office Meeting,Navy,Modern,Solid shift dress with embroidery
India,Mumbai,Traditional (North Indian),Office Meeting,Pastel,Modern,Solid formal Anarkali
Sri Lanka,Colombo,Western,Wedding,White,Traditional,Lace vintage-inspired fit-and-flare dress with lace overlay
Malaysia,Kuching,Indian,Casual Party,Bright,Modern,Block Print long skirt with crop top
Japan,Tokyo,Western,Casual Party,Pink,Traditional,Striped twinset with a pencil skirt and classic pumps
Japan,Tokyo,Western,Wedding,Gold,Modern,Embroidered embroidered illusion gown with lace details
England,Bristol,South Asian,Casual Party,Vibrant,Modern,Block Print high-low hem dress
Sri Lanka,Jaffna,Traditional (Tamil),Wedding,Pink,Modern,Beaded crop top with skirt
India,Delhi,Traditional (North Indian),Wedding,Maroon,Modern,Beaded saree gown
India,Mumbai,Western,Wedding,White,Modern,Lace embroidered illusion gown with lace details
India,Chennai,Traditional (South Indian),Wedding,Green,Modern,Beaded mermaid saree
USA,Miami,Latino,Wedding,Yellow,Modern,Ruffles one-shoulder gown with bold ruffles
Malaysia,Kuantan,Malay,Wedding,Gold,Traditional,Embroidered traditional wedding dress
Malaysia,Ipoh,Chinese,Wedding,Red,Modern,Traditional Motifs mermaid dress with Chinese motifs
Malaysia,Kuching,Chinese,Casual Party,Pastel,Modern,Floral crop top with high-waisted pants
India,Chennai,Traditional (South Indian),Casual Party,Pastel,Traditional,Floral batik print kurti with palazzos
Dubai,Sharjah,Traditional (Middle Eastern),Office Meeting,Gray,Modern,Minimal Embroidery midi dress with cardigan
Dubai,Sharjah,Traditional (Middle Eastern),Wedding,Silver,Traditional,Sequined silk kaftan with belt
India,Mumbai,Western,Office Meeting,Navy,Modern,Pinstripe business suit
India,Chennai,Traditional (South Indian),Wedding,Gold,Modern,Beaded gown with ethnic motifs
Sri Lanka,Kandy,Traditional (Sinhala),Casual Party,Bright,Modern,Floral off-shoulder dress
Malaysia,Kuching,Malay,Wedding,Silver,Modern,Embroidered modern baju kurung
Japan,Osaka,Traditional Japanese,Office Meeting,Earth Tones,Traditional,Solid kimono with subtle designs
Japan,Tokyo,Western,Wedding,Silver,Modern,Beaded silk crepe slip dress with cowl neckline
Dubai,Dubai,Traditional (Middle Eastern),Office Meeting,Beige,Modern,Minimal Embroidery long sleeve blouse with trousers
England,London,Western,Casual Party,Red,Modern,Abstract denim skirt with a graphic tee and sneakers
USA,Chicago,Black,Wedding,Bright,Modern,Beaded mermaid gown with Kente cloth details
Dubai,Dubai,Traditional (Middle Eastern),Casual Party,Bright,Modern,Floral printed maxi dress
USA,Miami,Western,Office Meeting,Gray,Modern,Solid business suit
England,Manchester,Western,Wedding,Pastel,Traditional,Embroidered knee-length lace dress with cap sleeves
India,Mumbai,Western,Wedding,Gold,Traditional,Embroidered sleeveless pleated dress with a belted waist
Japan,Kyoto,Traditional Japanese,Wedding,Red,Modern,Floral off-shoulder dress
USA,Miami,Western,Casual Party,Red,Modern,Abstract denim skirt with a graphic tee and sneakers
India,Bangalore,Traditional (South Indian),Wedding,Red,Modern,Zari designer saree
USA,Houston,Black,Office Meeting,Brown,Traditional,Subtle Ankara Print boubou dress
India,Mumbai,Western,Wedding,Ivory,Modern,Beaded one-shoulder chiffon dress
Malaysia,Kuantan,Malay,Casual Party,Multicolor,Modern,Floral jumpsuit with sleeves
Sri Lanka,Galle,Traditional (Sinhala),Wedding,Maroon,Modern,Embroidered saree gown
Sri Lanka,Colombo,Western,Wedding,Ivory,Traditional,Beaded pleated midi skirt with a blouse and matching bolero
USA,New York,Western,Casual Party,Blue,Traditional,Floral conservative shift dress with a belt and pumps
England,Bristol,Western,Casual Party,Green,Modern,Floral maxi skirt with a fitted tank top and flats
USA,New York,Western,Casual Party,Pink,Modern,Polka dot jeans with a stylish off-shoulder top and wedges
Malaysia,Ipoh,Indian,Office Meeting,Pastel,Modern,Solid churidar with long top
Malaysia,Ipoh,Indian,Casual Party,Vibrant,Traditional,Block Print bandhani print suit
England,London,Western,Wedding,Ivory,Traditional,Beaded classic wrap dress with a subtle floral pattern
Dubai,Dubai,Traditional (Middle Eastern),Wedding,Silver,Modern,Beaded ball gown with sleeves
Japan,Tokyo,Traditional Japanese,Wedding,White,Traditional,Embroidered red uchikake
Sri Lanka,Kandy,Traditional (Sinhala),Office Meeting,Cream,Modern,Solid shift dress with structured silhouette and simple accents
USA,Miami,Latino,Wedding,Yellow,Modern,Lace maxi dress with a high slit and lace accents
England,Manchester,Western,Wedding,Gold,Modern,Embroidered one-shoulder chiffon dress
Malaysia,Kuching,Chinese,Casual Party,Pastel,Modern,Printed crop top with high-waisted pants
Dubai,Dubai,Traditional (Middle Eastern),Casual Party,Earth Tones,Traditional,Printed long tunic with pants
Japan,Osaka,Traditional Japanese,Casual Party,Pastel,Modern,Geometric tunic with leggings
Malaysia,Ipoh,Indian,Wedding,Gold,Modern,Embroidered fancy saree
Japan,Kyoto,Traditional Japanese,Casual Party,Bright,Traditional,Traditional Prints kimono-style wrap
Dubai,Dubai,Traditional (Middle Eastern),Casual Party,Pastel,Traditional,Printed cloak over outfit
USA,Miami,Western,Office Meeting,Beige,Traditional,Solid knee-length skirt with blouse
England,Manchester,Western,Office Meeting,Navy,Modern,Pinstripe pleated skirt with sweater
India,Delhi,Traditional (North Indian),Casual Party,Pastel,Modern,Block Print Anarkali
Malaysia,Ipoh,Malay,Wedding,Silver,Modern,Lace ball gown with sleeves
USA,New York,Western,Casual Party,Blue,Traditional,Floral button-up shirt with tailored trousers and loafers
Dubai,Al Ain,Traditional (Middle Eastern),Casual Party,Earth Tones,Traditional,Geometric casual abaya
India,Delhi,Traditional (North Indian),Office Meeting,Earth Tones,Modern,Solid saree with simple border
USA,Chicago,Black,Wedding,Vibrant,Traditional,Ankara Print gele headwrap with lace dress
USA,Chicago,Latino,Office Meeting,Beige,Modern,Solid sleeveless blouse with cardigan
USA,Miami,Western,Casual Party,Blue,Traditional,Abstract twinset with a pencil skirt and classic pumps
USA,Houston,Black,Wedding,Bright,Traditional,Beaded Igbo wrapper and blouse
Malaysia,Ipoh,Chinese,Casual Party,Pastel,Modern,Geometric stylish dress
USA,New York,Latino,Office Meeting,Beige,Modern,Subtle Embroidery pencil skirt with ruffled blouse
India,Delhi,Traditional (North Indian),Casual Party,Pastel,Modern,Block Print front-slit kurti with jeans
USA,Chicago,Western,Casual Party,Pink,Traditional,Floral sweater dress with tights and ankle boots
England,Bristol,Western,Office Meeting,Black,Traditional,Checkered button-up shirt with slacks
Sri Lanka,Galle,Traditional (Sinhala),Office Meeting,Cream,Modern,Minimal Embroidery kandyan saree with minimal design
England,Bristol,Western,Wedding,Silver,Modern,Beaded one-shoulder chiffon dress
India,Delhi,Traditional (North Indian),Wedding,Pink,Traditional,Beaded Gota patti work lehenga
Japan,Tokyo,Traditional Japanese,Wedding,Silver,Traditional,Embroidered wedding kimono with cranes
India,Mumbai,Western,Wedding,White,Modern,Lace halter-neck satin gown
USA,New York,Western,Office Meeting,Black,Traditional,Solid sweater dress
Sri Lanka,Colombo,Traditional (Sinhala),Wedding,White,Traditional,Beaded Kandyan saree
Sri Lanka,Colombo,Western,Office Meeting,Navy,Modern,Solid shift dress
Dubai,Sharjah,Traditional (Middle Eastern),Wedding,Gold,Modern,Embroidered mermaid dress with lace
USA,Houston,Western,Casual Party,Blue,Modern,Abstract maxi skirt with a fitted tank top and flats
England,London,Western,Office Meeting,Navy,Modern,Solid tailored trousers with blazer
Dubai,Sharjah,Traditional (Middle Eastern),Casual Party,Bright,Modern,Printed shirt dress with leggings
USA,Houston,Black,Wedding,Vibrant,Traditional,Kente Patterns Swahili kanga dress
India,Mumbai,Western,Casual Party,Yellow,Modern,Abstract sundress with floral prints and sandals
Dubai,Abu Dhabi,Traditional (Middle Eastern),Wedding,Gold,Traditional,Beaded thobe with intricate designs
USA,Houston,Western,Wedding,Gold,Modern,Beaded one-shoulder chiffon dress
Sri Lanka,Kandy,Traditional (Sinhala),Wedding,White,Modern,Lace off-shoulder gown
USA,New York,Western,Casual Party,Green,Traditional,Polka dot button-up shirt with tailored trousers and loafers
USA,Chicago,Western,Casual Party,Yellow,Traditional,Floral conservative shift dress with a belt and pumps
India,Bangalore,Traditional (South Indian),Casual Party,Pastel,Modern,Floral printed jumpsuit
USA,New York,Latino,Office Meeting,Brown,Traditional,Subtle Embroidery bolero jacket with dress
Dubai,Dubai,Traditional (Middle Eastern),Casual Party,Pastel,Traditional,Geometric embroidered shawl with dress
USA,Chicago,Latino,Wedding,Gold,Traditional,Embroidered tiered skirt gown with lace accents
India,Delhi,Traditional (North Indian),Wedding,Red,Modern,Embroidered crop top with skirt
USA,New York,Latino,Casual Party,Vibrant,Traditional,Geometric floral print skirt with blouse
Malaysia,Kuantan,Malay,Casual Party,Multicolor,Modern,Printed peplum top with skirt
India,Chennai,Traditional (South Indian),Wedding,Green,Traditional,Zari Kanjeevaram saree
Japan,Osaka,Traditional Japanese,Wedding,Silver,Modern,Floral gown with cape
Sri Lanka,Jaffna,Traditional (Tamil),Casual Party,Pastel,Modern,Floral Anarkali suit
USA,Chicago,Latino,Office Meeting,Cream,Modern,Solid wrap dress with bold patterns
Sri Lanka,Colombo,Western,Office Meeting,Navy,Traditional,Checkered sweater dress
USA,Chicago,Latino,Wedding,Yellow,Traditional,Embroidered flamenco-style dress with tiered ruffles
Malaysia,Kuching,Malay,Casual Party,Pastel,Modern,Batik palazzo pants with tunic
Malaysia,Kuching,Indian,Wedding,Maroon,Traditional,Zari Banarasi silk saree
India,Mumbai,Western,Wedding,Gold,Traditional,Embroidered long-sleeve chiffon dress with an empire waist
England,Bristol,Western,Wedding,Pastel,Traditional,Embroidered pleated midi skirt with a blouse and matching bolero
Malaysia,Kuantan,Malay,Wedding,Maroon,Modern,Embroidered mermaid dress
